metric,value,step
loss/category_loss,2.4563210010528564,1540.0
loss/category_loss,3.0096688270568848,1550.0
loss/category_loss,2.288968801498413,1560.0
loss/category_loss,2.2378923892974854,1570.0
loss/category_loss,2.91572642326355,1580.0
loss/category_loss,2.503725290298462,1590.0
loss/category_loss,2.8350143432617188,1600.0
loss/category_loss,2.5218544006347656,1610.0
loss/category_loss,2.5007288455963135,1620.0
loss/category_loss,2.4764609336853027,1630.0
loss/category_loss,2.545579671859741,1640.0
loss/category_loss,3.2075881958007812,1650.0
loss/category_loss,2.5802650451660156,1660.0
loss/category_loss,2.3966212272644043,1670.0
loss/category_loss,2.663058280944824,1680.0
loss/category_loss,2.639295816421509,1690.0
loss/category_loss,2.4812285900115967,1700.0
loss/category_loss,2.537648916244507,1710.0
loss/category_loss,2.1654868125915527,1720.0
loss/category_loss,3.222790479660034,1730.0
loss/category_loss,2.044799327850342,1740.0
loss/category_loss,2.123368263244629,1750.0
loss/category_loss,2.891568422317505,1760.0
loss/category_loss,2.7349700927734375,1770.0
loss/category_loss,2.5672194957733154,1780.0
loss/category_loss,2.8891849517822266,1790.0
loss/category_loss,3.0084757804870605,1800.0
loss/category_loss,3.079514980316162,1810.0
loss/category_loss,2.647423505783081,1820.0
loss/category_loss,2.527996301651001,1830.0
loss/category_loss,2.133770227432251,1840.0
loss/category_loss,2.584887742996216,1850.0
loss/category_loss,2.7719225883483887,1860.0
loss/category_loss,2.380490303039551,1870.0
loss/category_loss,2.45267915725708,1885.0
loss/category_loss,2.2214486598968506,1895.0
loss/category_loss,1.9026474952697754,1905.0
loss/category_loss,2.639651298522949,1915.0
loss/category_loss,2.6261961460113525,1925.0
loss/category_loss,2.7457613945007324,1935.0
loss/category_loss,2.0859696865081787,1945.0
loss/category_loss,2.839303970336914,1955.0
loss/category_loss,2.5170557498931885,1965.0
loss/category_loss,3.1316027641296387,1975.0
loss/category_loss,2.3398044109344482,1985.0
loss/category_loss,2.562981605529785,1995.0
loss/category_loss,2.901705265045166,2005.0
loss/category_loss,2.323740005493164,2015.0
loss/category_loss,2.4542689323425293,2025.0
loss/category_loss,2.44293475151062,2035.0
loss/category_loss,3.4650356769561768,2045.0
loss/category_loss,2.092451333999634,2055.0
loss/category_loss,2.7814364433288574,2065.0
loss/category_loss,2.738898992538452,2075.0
loss/category_loss,2.3603439331054688,2085.0
loss/category_loss,2.366429090499878,2095.0
loss/category_loss,3.0631754398345947,2105.0
loss/category_loss,3.0553159713745117,2115.0
loss/category_loss,2.322828769683838,2125.0
loss/category_loss,3.1248085498809814,2135.0
loss/category_loss,2.335268020629883,2145.0
loss/category_loss,3.0451018810272217,2155.0
loss/category_loss,2.168558120727539,2165.0
loss/category_loss,3.3863978385925293,2175.0
loss/category_loss,2.850135564804077,2185.0
loss/category_loss,2.2660045623779297,2195.0
loss/category_loss,2.697809934616089,2205.0
loss/category_loss,2.4552197456359863,2215.0
loss/category_loss,2.799499034881592,2225.0
loss/category_loss,2.8335957527160645,2235.0
loss/category_loss,1.9253238439559937,2245.0
loss/category_loss,2.9374659061431885,2255.0
loss/category_loss,2.1237738132476807,2265.0
loss/category_loss,2.767709970474243,2275.0
loss/category_loss,2.6586267948150635,2285.0
loss/category_loss,2.652911424636841,2295.0
loss/category_loss,2.274144172668457,2305.0
loss/category_loss,2.413638114929199,2315.0
loss/category_loss,2.7133662700653076,2325.0
loss/category_loss,2.250899314880371,2335.0
loss/category_loss,2.1436471939086914,2345.0
loss/category_loss,2.712953567504883,2355.0
loss/category_loss,2.4556024074554443,2365.0
loss/category_loss,2.5060019493103027,2375.0
loss/category_loss,2.5445988178253174,2385.0
loss/category_loss,2.315614938735962,2395.0
loss/category_loss,2.5332400798797607,2405.0
loss/category_loss,2.2677059173583984,2415.0
loss/category_loss,3.0433173179626465,2425.0
loss/category_loss,2.180593490600586,2435.0
loss/category_loss,2.5667967796325684,2445.0
loss/category_loss,2.103705644607544,2455.0
loss/category_loss,2.6992478370666504,2465.0
loss/category_loss,2.4942429065704346,2475.0
loss/category_loss,2.5956790447235107,2485.0
loss/category_loss,2.4249556064605713,2495.0
loss/category_loss,2.072230100631714,2510.0
loss/category_loss,2.5657150745391846,2520.0
loss/category_loss,3.0783658027648926,2530.0
loss/category_loss,2.8182501792907715,2540.0
loss/category_loss,2.4953553676605225,2550.0
loss/category_loss,2.9698047637939453,2560.0
loss/category_loss,2.434634208679199,2570.0
loss/category_loss,2.6894638538360596,2580.0
loss/category_loss,2.3616526126861572,2590.0
loss/category_loss,3.3559775352478027,2600.0
