loss,acc,f1_score,val_loss,val_acc,val_f1_score,lr
2.3814173692899656,0.9966057538986206,0.0005701833288185298,0.034466926008462906,0.9964351058006287,0.0002762805961538106,9.999999747378752e-05
2.0311209830228107,0.9966076612472534,0.001398674794472754,0.031290005147457126,0.9965043663978577,0.0003885224286932498,9.999999747378752e-05
1.8574444413781637,0.9966088533401489,0.0025625801645219326,0.028468918055295944,0.9965388774871826,0.0005348899867385626,9.999999747378752e-05
1.720521300379653,0.9966101050376892,0.004107222426682711,0.026285243034362794,0.9965623617172241,0.0006638325867243111,9.999999747378752e-05
1.5941096169401665,0.9966104030609131,0.006115056574344635,0.02462187223136425,0.9965892434120178,0.0007598380325362086,9.999999747378752e-05
1.4726747315527107,0.996616780757904,0.008782205171883106,0.02365232016891241,0.9965907335281372,0.0008235340937972069,9.999999747378752e-05
1.3553094080570092,0.9966306686401367,0.011984975077211857,0.022842321172356607,0.9966008067131042,0.0008770146523602307,9.999999747378752e-05
1.24535704544415,0.9966341257095337,0.015977436676621437,0.022592471167445182,0.9966017007827759,0.0008831556187942624,9.999999747378752e-05
1.1462801848394732,0.9966550469398499,0.02004859782755375,0.022379937954246996,0.9966017603874207,0.0009143375791609287,9.999999747378752e-05
1.0602992169317649,0.996666669845581,0.02444598637521267,0.022354858182370662,0.9966001510620117,0.0009351411717943847,9.999999747378752e-05
0.9801176639805036,0.9966911673545837,0.029512958601117134,0.022349501587450506,0.9966009259223938,0.0009168175747618079,9.999999747378752e-05
0.9095042111812719,0.9967054724693298,0.034477535635232925,0.02231473084539175,0.9966026544570923,0.0009192692232318223,9.999999747378752e-05
0.852979513887421,0.9967265129089355,0.03885088115930557,0.022344331070780755,0.9966025352478027,0.0009046440245583653,9.999999747378752e-05
0.7997264612308137,0.9967575073242188,0.04385180026292801,0.022400197573006153,0.996602475643158,0.0009227724513038993,9.999999747378752e-05
0.7461942740261539,0.996771514415741,0.050101716071367264,0.022373251989483832,0.996602475643158,0.0009233091841451824,4.999999873689376e-05
0.7208267904156788,0.9967708587646484,0.05149991810321808,0.022342246025800705,0.9966025352478027,0.000941597216296941,4.999999873689376e-05
0.695845181263212,0.9967815279960632,0.0544787272810936,0.022335117682814598,0.996602475643158,0.0009486771305091679,4.999999873689376e-05
0.6831181009317467,0.9967824220657349,0.05567073076963425,0.022334565035998823,0.996602475643158,0.0009661266813054681,4.999999873689376e-05
0.6677789571475505,0.9968035221099854,0.058150481432676315,0.022324355132877827,0.9966025352478027,0.0009700579685159028,4.999999873689376e-05
0.6480658602048951,0.9968096017837524,0.06076756864786148,0.02229264285415411,0.9966017007827759,0.0009976314613595605,2.499999936844688e-05
0.6408763576847395,0.9968067407608032,0.06163978576660156,0.022283850237727165,0.9966033101081848,0.0010092966258525848,2.499999936844688e-05
0.6332174289499675,0.996807873249054,0.06264566630125046,0.022243478521704673,0.9966033101081848,0.0010497497860342264,2.499999936844688e-05
0.6243211300491753,0.9968169927597046,0.0638229250907898,0.022223877161741255,0.99660325050354,0.0010807502549141645,2.499999936844688e-05
0.6207894382270851,0.9968250393867493,0.06425562500953674,0.022197889164090157,0.9966033101081848,0.001086104311980307,2.499999936844688e-05
0.6134326555460794,0.9968222379684448,0.06497377157211304,0.02218409888446331,0.99660325050354,0.0011141884606331587,2.499999936844688e-05
0.6091635972850097,0.9968346953392029,0.06617114692926407,0.022191002033650875,0.9966033101081848,0.0011353064328432083,2.499999936844688e-05
0.606673613673359,0.9968326091766357,0.06669726222753525,0.022183521836996078,0.9966025352478027,0.0011757874162867665,2.499999936844688e-05
0.6012707251701225,0.9968351721763611,0.06798704713582993,0.02217220012098551,0.9966025352478027,0.0011620430741459131,1.249999968422344e-05
0.5966820956563711,0.9968332648277283,0.06817508488893509,0.02215769309550524,0.9966025352478027,0.0012256165500730276,1.249999968422344e-05
0.5931289069960862,0.9968381524085999,0.0685550644993782,0.022153330408036707,0.99660325050354,0.001203186926431954,1.249999968422344e-05
0.5891028488030834,0.9968425035476685,0.06947984546422958,0.022146973013877868,0.9966017603874207,0.0012010436039417982,1.249999968422344e-05
0.5896368908166321,0.9968451857566833,0.06899572163820267,0.022157002799212934,0.9966017007827759,0.001250570872798562,1.249999968422344e-05
0.5888893590621456,0.9968540072441101,0.06940363347530365,0.022132998146116734,0.9966017603874207,0.0012417908292263746,6.24999984211172e-06
0.5856310712339879,0.9968410134315491,0.06938567012548447,0.02212392557412386,0.9966017007827759,0.0012558236485347152,6.24999984211172e-06
0.5853827879213489,0.9968406558036804,0.0700521245598793,0.022110477462410925,0.9966017603874207,0.0013001580955460668,6.24999984211172e-06
0.5815559501141851,0.9968435764312744,0.07059166580438614,0.022106306441128255,0.9966009259223938,0.001289344159886241,6.24999984211172e-06
0.5782190015638129,0.9968462586402893,0.07111700624227524,0.022088881023228167,0.9966002702713013,0.001345151336863637,6.24999984211172e-06
0.5804608780238262,0.9968475103378296,0.07054698467254639,0.022091880068182947,0.9966001510620117,0.001384719624184072,6.24999984211172e-06
0.5759324637060891,0.996854841709137,0.07156400382518768,0.022080147080123423,0.9965994954109192,0.001379884546622634,3.12499992105586e-06
0.5773643072825029,0.9968464970588684,0.07142097502946854,0.022057196497917174,0.9965994954109192,0.0014024358242750168,3.12499992105586e-06
0.5751005987101302,0.996844470500946,0.07178653031587601,0.02205736208707094,0.9965993762016296,0.0013811427634209394,3.12499992105586e-06
0.577111801034939,0.9968446493148804,0.07146453857421875,0.022047509253025056,0.9965986013412476,0.0014208924258127809,3.12499992105586e-06
